Solution #, n, T, alpha, beta, l_0
125, 1.400000, 426.654779, 0.462891, 0.537109, -0.000488
126, 1.400000, 426.654779, 0.463135, 0.536865, -0.000488
127, 1.400000, 426.654779, 0.463379, 0.536621, -0.000488
128, 1.400000, 426.654779, 0.462402, 0.537598, -0.000244
129, 1.400000, 426.654779, 0.462646, 0.537354, -0.000244
130, 1.400000, 426.654779, 0.462891, 0.537109, -0.000244
131, 1.400000, 426.654779, 0.463135, 0.536865, -0.000244
132, 1.400000, 426.654779, 0.463379, 0.536621, -0.000244
133, 1.400000, 426.654779, 0.463623, 0.536377, -0.000244
134, 1.400000, 426.654779, 0.463867, 0.536133, -0.000244
135, 1.400000, 426.654779, 0.464111, 0.535889, -0.000244
136, 1.400000, 426.654779, 0.464355, 0.535645, -0.000244
137, 1.400000, 426.654779, 0.464600, 0.535400, -0.000244
138, 1.400000, 426.654779, 0.464844, 0.535156, -0.000244
139, 1.400000, 426.654779, 0.942871, -0.057129, 0.113525
140, 1.400000, 426.654779, 0.943115, -0.056885, 0.113281
141, 1.400000, 426.654779, 0.464844, 0.535156, -0.000244
142, 1.400000, 426.654779, 0.464600, 0.535400, -0.000244
143, 1.400000, 426.654779, 0.464355, 0.535645, -0.000244
144, 1.400000, 426.654779, 0.464111, 0.535889, -0.000244
145, 1.400000, 426.654779, 0.463867, 0.536133, -0.000244
146, 1.400000, 426.654779, 0.463623, 0.536377, -0.000244
147, 1.400000, 426.654779, 0.463379, 0.536621, -0.000244
148, 1.400000, 426.654779, 0.463135, 0.536865, -0.000244
149, 1.400000, 426.654779, 0.462891, 0.537109, -0.000244
150, 1.400000, 426.654779, 0.462646, 0.537354, -0.000244
151, 1.400000, 426.654779, 0.462402, 0.537598, -0.000244
152, 1.400000, 426.654779, 0.463379, 0.536621, -0.000488
153, 1.400000, 426.654779, 0.463135, 0.536865, -0.000488
154, 1.400000, 426.654779, 0.462891, 0.537109, -0.000488
155, 1.400000, 426.654779, 0.462646, 0.537354, -0.000488
156, 1.400000, 426.654779, 0.462402, 0.537598, -0.000488
157, 1.400000, 426.654779, 0.462158, 0.537842, -0.000488
158, 1.400000, 426.654779, 0.461914, 0.538086, -0.000488
159, 1.400000, 426.654779, 0.461670, 0.538330, -0.000488
160, 1.400000, 426.654779, 0.461426, 0.538574, -0.000488
161, 1.400000, 426.654779, 0.461182, 0.538818, -0.000488
162, 1.400000, 426.654779, 0.460938, 0.539062, -0.000488
163, 1.500000, 440.972367, -0.054932, 0.945068, -0.107178
164, 1.500000, 440.972367, -0.054932, 0.945068, -0.106934
165, 1.500000, 440.972367, -0.054688, 0.945312, -0.106689
166, 1.500000, 440.972367, 0.460938, 0.539062, -0.000488
167, 1.500000, 440.972367, 0.461182, 0.538818, -0.000488
168, 1.500000, 440.972367, 0.461426, 0.538574, -0.000488
169, 1.500000, 440.972367, 0.461670, 0.538330, -0.000488
170, 1.500000, 440.972367, 0.461914, 0.538086, -0.000488
171, 1.500000, 440.972367, 0.462158, 0.537842, -0.000488
172, 1.500000, 440.972367, 0.462402, 0.537598, -0.000488
173, 1.500000, 440.972367, 0.462646, 0.537354, -0.000488
174, 1.500000, 440.972367, 0.462158, 0.537842, -0.000244
175, 1.500000, 440.972367, 0.462402, 0.537598, -0.000244
176, 1.500000, 440.972367, 0.462646, 0.537354, -0.000244
177, 1.500000, 440.972367, 0.462891, 0.537109, -0.000244
178, 1.500000, 440.972367, 0.463135, 0.536865, -0.000244
179, 1.500000, 440.972367, 0.463379, 0.536621, -0.000244
180, 1.500000, 440.972367, 0.463623, 0.536377, -0.000244
181, 1.500000, 440.972367, 0.463867, 0.536133, -0.000244
182, 1.500000, 440.972367, 0.464111, 0.535889, -0.000244
183, 1.500000, 440.972367, 0.464355, 0.535645, -0.000244
184, 1.500000, 440.972367, 0.464600, 0.535400, -0.000244
185, 1.500000, 440.972367, 0.464844, 0.535156, -0.000244
186, 1.500000, 440.972367, 0.463623, 0.536377, 0.000000
187, 1.500000, 440.972367, 0.463867, 0.536133, 0.000000
188, 1.500000, 440.972367, 0.464111, 0.535889, 0.000000
189, 1.500000, 440.972367, 0.464355, 0.535645, 0.000000
190, 1.500000, 440.972367, 0.464600, 0.535400, 0.000000
191, 1.500000, 440.972367, 0.464844, 0.535156, 0.000000
192, 1.500000, 440.972367, 0.465088, 0.534912, 0.000000
193, 1.500000, 440.972367, 0.465332, 0.534668, 0.000000
194, 1.500000, 440.972367, 0.465576, 0.534424, 0.000000
195, 1.500000, 440.972367, 0.465820, 0.534180, 0.000000
196, 1.500000, 440.972367, 0.466064, 0.533936, 0.000000
197, 1.500000, 440.972367, 0.940430, -0.059570, 0.113281
198, 1.500000, 440.972367, 0.940674, -0.059326, 0.113037
199, 1.500000, 440.972367, 0.940674, -0.059326, 0.112793
200, 1.500000, 440.972367, 0.466064, 0.533936, -0.000000
201, 1.500000, 440.972367, 0.465820, 0.534180, -0.000000
202, 1.500000, 440.972367, 0.465576, 0.534424, -0.000000
203, 1.500000, 440.972367, 0.465332, 0.534668, -0.000000
204, 1.500000, 440.972367, 0.465088, 0.534912, -0.000000
205, 1.500000, 440.972367, 0.464844, 0.535156, -0.000000
206, 1.500000, 440.972367, 0.464600, 0.535400, -0.000000
207, 1.500000, 440.972367, 0.464355, 0.535645, -0.000000
208, 1.500000, 440.972367, 0.464111, 0.535889, -0.000000
209, 1.500000, 440.972367, 0.463867, 0.536133, -0.000000
210, 1.500000, 440.972367, 0.463623, 0.536377, -0.000000
